"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000284662"	8.67535599632588	0.130778259213446	0.19399816611365	0.674121110695612	0.500234319118487	0.644662207271619
"ENSG00000187634"	401.434082689247	0.434542103894321	0.154160170152495	2.8187702664344	0.00482080077060504	0.0211924311103825
"ENSG00000188976"	2146.77357771759	-0.162199189736114	0.0800010537190828	-2.02746316699357	0.0426150676195661	0.111082720292098
"ENSG00000187961"	458.863983539804	0.257819200720413	0.13526897846958	1.9059743308285	0.056653536098845	0.137412764947487
"ENSG00000188290"	415.922285384808	-0.69790799715512	0.147969036279807	-4.71658135175921	2.39840492961219e-06	6.27619566849947e-05
"ENSG00000187608"	431.785513568672	0.0743561219211552	0.180509730919939	0.41192306665248	0.680395813234841	0.788304340297601
"ENSG00000188157"	4123.31025002911	-0.532625955691758	0.101386499616073	-5.25342089635884	1.49299814943859e-07	7.25352049259164e-06
"ENSG00000131591"	625.819146223161	-0.33544459317834	0.109133510969145	-3.07370843473714	0.00211415943387617	0.0113094793812171
"ENSG00000186891"	61.0423756125672	-0.71372118088553	0.191852859952485	-3.72014876954294	0.000199105460251655	0.00187536928501028
"ENSG00000186827"	37.6071108756898	-0.0193522830108615	0.201735464366894	-0.0959290081770932	0.923576955623426	0.954016676921601
"ENSG00000078808"	2689.96605586067	-0.31379486945477	0.0861552714061037	-3.64220162427042	0.000270316214224093	0.00237402987261423
"ENSG00000176022"	752.136338790222	-0.20574433623957	0.104200545943878	-1.9745034383062	0.04832452686768	0.121909601870738
"ENSG00000184163"	28.2472462800264	-0.0156299330891602	0.193228872038856	-0.0808881867613309	0.935530874778247	0.961270603140621
"ENSG00000160087"	1236.88358971801	0.015843182187045	0.0704480502364998	0.224891705786863	0.822063521859616	0.886571228554477
"ENSG00000162572"	925.563856877101	-0.495548705919428	0.127976215611333	-3.87219377875982	0.000107860144113972	0.00117762058983451
"ENSG00000131584"	8080.01507931235	-0.409333342423518	0.109310963929336	-3.74466867466408	0.000180631990511497	0.00173498460827827
